Kapitelüberschriften;Nummerierung;H-003;H-005;H-021;H-016;H-001;H-015;H-012;H-006;H-007;dis H-003 H-005;dis H-003 H-021;dis H-003 H-016;dis H-003 H-001;dis H-003 H-015;dis H-003 H-012;dis H-003 H-006;dis H-003 H-007;dis H-005 H-021;dis H-005 H-016;dis H-005 H-001;dis H-005 H-015;dis H-005 H-012;dis H-005 H-006;dis H-005 H-007;dis H-021 H-016;dis H-021 H-001;dis H-021 H-015;dis H-021 H-012;dis H-021 H-006;dis H-021 H-007;dis H-016 H-001;dis H-016 H-015;dis H-016 H-012;dis H-016 H-006;dis H-016 H-007;dis H-001 H-015;dis H-001 H-012;dis H-001 H-006;dis H-001 H-007;dis H-015 H-012;dis H-015 H-006;dis H-015 H-007;dis H-012 H-006;dis H-012 H-007;dis H-006 H-007
;6716;M it ſinen ungeren ine bliben;Mit ſinē ivngin inne beliben‧;myt ʒinen yungeꝛen ynne to bliuende~;mit ſulē ſungn̄ ſine blybn̄;mit ſynen ſungern ynne llyben;l ſeinen ivngern inne beleibē.;myt ſynē iāgerē mne bluē;Mit ſeinen ſungern inne beleiben;;0.38;0.39;0.48;0.28;0.45;0.48;0.22;1;0.5;0.41;0.41;0.41;0.52;0.28;1;0.61;0.42;0.56;0.58;0.44;1;0.41;0.69;0.56;0.47;1;0.48;0.48;0.22;1;0.55;0.22;1;0.53;1;1
;6717;A n ſinem gebeit die nach virtriben;An ſinem gebet die naht v͛triben‧;vnde dan nacht myt bedende to voꝛ dꝛine~;An ſine gebet die nacht dlÿbn̄ b͛tridn̄;Jn ſyne gebete dye nacht vor tryben;in ſeinem gebet di nacht v͛treibē;An ſme bede de nacht voꝛ truē;An ſeinem gepet dy naht uertraben;;0.2;0.75;0.41;0.31;0.31;0.49;0.31;1;0.75;0.33;0.31;0.24;0.48;0.27;1;0.82;0.68;0.75;0.65;0.75;1;0.41;0.41;0.46;0.49;1;0.4;0.34;0.34;1;0.45;0.33;1;0.52;1;1
;6718;Iheſus ſine iunger nam;Ieſus ſin ivnger nam‧;ye ʒus ſinen yungeꝛ nan~;Jhūs ſin ʒungn̄ nam;Jheſus ſyne jungern nam;elus ſeine wng͛ nam.;ihgus ſynt inger nam;Ieſus ſein lungern nam;;0.18;0.38;0.36;0.17;0.36;0.23;0.23;1;0.42;0.43;0.35;0.43;0.29;0.23;1;0.5;0.46;0.46;0.5;0.46;1;0.39;0.47;0.45;0.41;1;0.43;0.3;0.26;1;0.45;0.36;1;0.36;1;1
;6719;V nd inden ſelben garten quam;Vn̄ inden ſelben garten châm‧;vnde in den ʒuluen gaꝛden qwam~;vnd ÿn den ſelbn̄ gartn̄ quam;vnde in den ſelben garten quam;Vnd in den ſelben garten quam.;vnd inden ſukē gardē quā;Vnd m den ſelben garten cham;;0.21;0.32;0.24;0.1;0.07;0.38;0.17;1;0.39;0.38;0.23;0.21;0.48;0.17;1;0.42;0.23;0.26;0.45;0.35;1;0.2;0.17;0.41;0.28;1;0.03;0.4;0.17;1;0.38;0.14;1;0.5;1;1
;6720;e r die iungeren ſitʒen lieʒ;Er die ivnger ſitzen liez‧;de yungeꝛ de daꝛ ſilten heit~;die ʒungn̄ erdo ſicʒn̄ ließ;da her dye jungern ſiʒen hys;D l vnger er do ſitʒen lieʒ;de iger he dar ſittē let;Er dy lungern ſicʒen hieʒ;;0.25;0.66;0.5;0.43;0.46;0.64;0.25;1;0.69;0.59;0.54;0.56;0.62;0.38;1;0.55;0.69;0.52;0.41;0.62;1;0.75;0.41;0.59;0.56;1;0.71;0.61;0.36;1;0.48;0.52;1;0.76;1;1
;6721;A n einer ſtat vnd ſie da hieʒ;An ein ander ſtat v ſi da hiez‧;an ʒineꝛ ſtede vnde ʒe dat heid~;An einer ſtad vnd ſie hieſ;an eyner ſtat vnde ſye da lys;an einer ſtat vnd ſi do hieʒ.;An eyner ſtede vn he ſe dat het;An einer ſtat vnd ſy do lieʒ;;0.31;0.41;0.2;0.27;0.1;0.39;0.17;1;0.59;0.38;0.47;0.28;0.53;0.34;1;0.44;0.44;0.41;0.28;0.44;1;0.34;0.18;0.42;0.25;1;0.31;0.32;0.24;1;0.39;0.07;1;0.42;1;1
;6722;d aʒ ſi waren an ir gebet;Daz ſi weren an irem gebet‧;dat ʒe weꝛen an eꝛme bede~;daʒ ſie weren an irem gebete;daʒ ſye wern an yrme gebete;D aʒ ſi weren an iͤr gebete.;dat ſe wern an erie ghedete;Daʒ ſy warteten an irem gepet;;0.22;0.5;0.21;0.33;0.11;0.41;0.28;1;0.44;0.11;0.3;0.22;0.33;0.28;1;0.43;0.41;0.48;0.33;0.48;1;0.18;0.18;0.29;0.28;1;0.3;0.22;0.38;1;0.37;0.38;1;0.45;1;1
;6723;;Daz der tievel niht enhêt‧;dat de duuel ʒe nicht en hedde~;daʒ der tufel nicht an in hette;das der tuſel nicht en hotte;daʒ der tevfel nicht enhete.;dat de duuel nicht en hete;Daʒ der teufel nicht enhet;;1;1;1;1;1;1;1;1;0.52;0.42;0.32;0.22;0.38;0.27;1;0.45;0.35;0.42;0.19;0.42;1;0.23;0.26;0.29;0.26;1;0.25;0.21;0.25;1;0.26;0.07;1;0.27;1;1
;6724;W ech ʒuͦ in daʒ her ſie mochte;Wec zv in daz er ſi mohte‧;wech to em dat he ʒe ꝛucke~;daʒ er ſie icht betrubn̄ mochte;den wegʒn yn daʒ her ſye mute;D eg ʒv in daʒ er ſi mvte.;Wech to en he ſe ruchte;Gewalt ʒv in daʒ er ſy mut;;0.32;0.48;0.61;0.45;0.32;0.42;0.48;1;0.56;0.61;0.52;0.31;0.54;0.46;1;0.77;0.62;0.67;0.37;0.7;1;0.71;0.65;0.65;0.74;1;0.34;0.59;0.38;1;0.68;0.35;1;0.69;1;1
;6725;M it gedenken ſer verſvechet;Mit gedanken ſi verſenken‧;myt danken he ʒe voꝛ ſuchtede~;vnd mit gedanckn icht vſuchte;vnde mit gedanben ſye vor ſute;mit gedanchen ſi v͛ſuͦchte.;mit ghe daukē he ſe vor ſuchte;Mit gedanchen er ſein verſuht;;0.32;0.6;0.59;0.53;0.43;0.53;0.45;1;0.6;0.62;0.5;0.38;0.53;0.45;1;0.67;0.63;0.57;0.43;0.6;1;0.4;0.41;0.57;0.59;1;0.5;0.53;0.57;1;0.4;0.34;1;0.5;1;1
;6726;V nd kranken muͦt ſie ane ſente;Vn̄ chranken mvͦt ſi ane ſenten‧;vnde cꝛanken mod ʒe ane ſende~;vnd in branckheit geſende;vnde kranken mute ſy an geſente;V nd chranchen mvͦt ſi an geſante.;vnde crākē mit ſean ſende;Vnd chranchen mute an ſy geſente;;0.25;0.35;0.61;0.29;0.3;0.42;0.44;1;0.38;0.66;0.41;0.3;0.47;0.47;1;0.6;0.39;0.52;0.37;0.5;1;0.58;0.58;0.56;0.53;1;0.33;0.39;0.28;1;0.52;0.27;1;0.56;1;1
;6727;V on in gine er an ein ende;Von in gienc er an ein ende‧;van en gink he an enen ende~;von in ging ihins an ein ende;von yn er ging an eyn ente;don in giench er an ein ende.;vā ene ghink he an eynende;Von yn gieng er an ein ende;;0.14;0.32;0.24;0.41;0.18;0.41;0.15;1;0.32;0.28;0.43;0.11;0.43;0.11;1;0.34;0.46;0.39;0.29;0.32;1;0.34;0.28;0.41;0.24;1;0.43;0.46;0.33;1;0.46;0.14;1;0.41;1;1
;6728;a n ſin gebit er inder lach;An ſinem gebet er inder lac‧;an ʒin bet he neddeꝛ lach~;An dem gebete ſin er inder lag;an ſyn gebote her nyder trat;a n ſein gebet er inder lach.;An ſyn ghedet he nedder lach;An ſeinem gepet er nider lag;;0.18;0.44;0.4;0.39;0.07;0.36;0.36;1;0.46;0.33;0.43;0.18;0.39;0.21;1;0.6;0.54;0.43;0.29;0.54;1;0.43;0.37;0.53;0.4;1;0.43;0.39;0.43;1;0.36;0.29;1;0.43;1;1
;6729;V nd ʒuͦ ſinen vater ſprach;Vn̄ zv ſinem vater ſprach‧;vnde to ʒineme vadeꝛ he ſpꝛak~;vnd ʒu ſein vatter ſprach;vnde ʒu ſynem vater bat;vnd ʒv ſeinem vater ſprach.;vn to ſvnē vader ſprach;Vnd ʒv ſeinem vater ſprach;;0.26;0.53;0.22;0.37;0.19;0.33;0.19;1;0.5;0.31;0.42;0.15;0.31;0.15;1;0.57;0.5;0.47;0.47;0.47;1;0.44;0.15;0.32;0.15;1;0.35;0.57;0.35;1;0.31;0;1;0.31;1;1
;6730;G ot vater min ich bin bereit;Got vater min ich bin bereit‧;got vadeꝛ myn ick bin be ꝛeid~;Got vatter mȳ ich bin bereyt;got vater myn ich byn bereyt;D or vater mein ich bin bereit.;got vader mȳ ik byn bereyt;Got vater mein ich pin berait;;0.07;0.3;0.17;0.14;0.1;0.28;0.14;1;0.27;0.17;0.14;0.17;0.28;0.14;1;0.37;0.3;0.4;0.33;0.37;1;0.14;0.27;0.18;0.24;1;0.23;0.18;0.21;1;0.37;0.17;1;0.34;1;1
;6731;ʒ uͦ tragene alle arbeit;ze tragen alle arbeit‧;t dꝛagende alle aꝛbeid~;Eu tragn̄ alle erbeit;ʒu tragen alle erbeyt;ve tragen alle arbeit;Eo draghene alle arbeyt;Ʒ e tragen alle arbait;;0.25;0.42;0.25;0.21;0.21;0.29;0.17;1;0.39;0.27;0.23;0.09;0.3;0.18;1;0.48;0.48;0.39;0.39;0.48;1;0.19;0.24;0.3;0.32;1;0.19;0.26;0.23;1;0.26;0.14;1;0.35;1;1
;6732;I ch wal liden gern den dot;Ich wil leiden gern den tot‧;ik wil geꝛne lidan den dod~;Jch wil leydn̄ gern den tot;Ich wil gerne lyden den tot;ch wil leiden gerne den tot.;ſ wil gherne lidē den dot;Ich wil gern leiden den tod;;0.18;0.56;0.3;0.44;0.22;0.52;0.44;1;0.46;0.18;0.32;0.11;0.5;0.36;1;0.52;0.3;0.52;0.3;0.3;1;0.33;0.19;0.48;0.37;1;0.37;0.3;0.15;1;0.48;0.37;1;0.37;1;1
;6733;v ater min durch din gebot;Vater min dvrch din gebôt‧;vadeꝛ myn doꝛch din ge bod~;vatter mȳ dirch din gebot;Rater myn durch din gebot;vater mein durch dem gebot.;vader vȳ doꝛch dȳ ghebot;Pater mein durch dem gepot;;0.15;0.33;0.19;0.12;0.15;0.38;0.23;1;0.33;0.23;0.19;0.23;0.42;0.31;1;0.37;0.3;0.41;0.37;0.48;1;0.2;0.27;0.32;0.35;1;0.19;0.4;0.23;1;0.38;0.08;1;0.46;1;1
;6734;d es todes kopf wil ich trinken;Des todes chopf den wil ich trinken‧;des dades napp den wil ik denken~;des todes kelch wil ich trinckn̄;des kopphes tot wil ich trinke;D es todes choph wil ich trinchen.;des dodes nap wil ik drinkē;Deʒ todes chelich wil ich trincken;;0.22;0.48;0.25;0.29;0.15;0.32;0.29;1;0.33;0.33;0.39;0.25;0.42;0.28;1;0.55;0.61;0.55;0.33;0.53;1;0.38;0.24;0.38;0.18;1;0.36;0.37;0.41;1;0.39;0.21;1;0.44;1;1
;6735;d a von in wil ich nit en wenken;Da von wil ich niht entwenken‧;nicht en wil ick daꝛ aff wenken~;do vō wil ich mich nicht wenekn̄;nycht wil ich da von entwinke;nicht wil ich da von entwenchen.;nucht wil ik dar vā winkē;Vnd nicht wil da uon wencken;;0.22;0.5;0.53;0.59;0.59;0.62;0.56;1;0.53;0.44;0.5;0.48;0.63;0.67;1;0.62;0.47;0.44;0.41;0.53;1;0.56;0.56;0.62;0.69;1;0.16;0.34;0.55;1;0.45;0.42;1;0.57;1;1
;6736;M in geiſt iſt vater wol bereit;Mein geiſt iſt vater wol berait̂‧;myn geiſt is vadeꝛ wol be ꝛeid~;vatter mȳ geiſt iſt bereyt;myn geiſt iſt herre wol bereyt;D ein geiſt iſt vater wol bereit.;mȳ gheyſt isvader wokecyt;Mein gaiſt iſt nu wol berait;;0.12;0.32;0.61;0.26;0.06;0.48;0.26;1;0.36;0.67;0.33;0.15;0.52;0.24;1;0.74;0.39;0.38;0.48;0.48;1;0.6;0.59;0.69;0.64;1;0.31;0.5;0.33;1;0.53;0.28;1;0.64;1;1
;6737;;;;;ʒu tragen alle erbeit;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;6738;;;;;Ich wil gerne lyden den tot;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;6739;;;;;vater myn durch din gebot;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;6740;;;;;Ich wil des nicht lenger beych;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;6741;d uͦrch mines fleiſches plodicheit;Doch mines vleiſchs blodikeit‧;doch mynes lines bꝛodich eid~;doch mōs libeh blodickeit;durch myns fleiſches krangheit;doch meines fleiſches brodicheit.;goch mynes brodicheyt;Doch meines vleiſches blodichait;;0.29;0.44;0.44;0.29;0.21;0.56;0.24;1;0.4;0.33;0.43;0.22;0.53;0.19;1;0.34;0.57;0.34;0.41;0.38;1;0.57;0.38;0.44;0.38;1;0.31;0.6;0.41;1;0.44;0.09;1;0.5;1;1
;6742;I ſt krant dar v̄me vat͛ min;Iſt chranc dar vmbe vater mîn‧;is cꝛank daꝛ vme vadeꝛ myn~;Jſt krancd dar vmb vatt ſūn̄;Jſt krangs dar vmb vater myn;I ſt chranch dar vmb vat͛ mein.;is trank dar vme vader mȳ;Iſt chranch darumb vater mein;;0.33;0.46;0.36;0.32;0.23;0.39;0.41;1;0.37;0.33;0.27;0.27;0.33;0.23;1;0.54;0.43;0.5;0.26;0.52;1;0.25;0.33;0.5;0.41;1;0.33;0.36;0.31;1;0.47;0.17;1;0.45;1;1
;6743;O b daʒ din wille mac geſin;Ob daz din wille mac geſein‧;offt dat din wille mach ʒin~;Ab es din wil mag geſin;as daʒ dyn wille mag geſyn;ob daʒ den wille mag geſein.;Iſ dat dȳ wille mach ſy;Ob daʒ dein wille mag geſein;;0.14;0.32;0.3;0.22;0.15;0.41;0.14;1;0.36;0.32;0.29;0.14;0.43;0.14;1;0.54;0.46;0.43;0.36;0.43;1;0.31;0.3;0.65;0.29;1;0.19;0.38;0.21;1;0.44;0.04;1;0.46;1;1
;6744;d er martil uber habe mich;Der marter vber hebe mich‧;de meꝛteꝛ aueꝛ~;der marter vber lebe mich;der marter vber hebe mich;der marter vber hebe mich.;Gemartir oner hēue mich;Der maꝛter uber hebe mich;;0.23;0.65;0.23;0.19;0.19;0.35;0.19;1;0.69;0.08;0.04;0.04;0.35;0.12;1;0.68;0.68;0.68;0.74;0.64;1;0.04;0.04;0.36;0.12;1;0;0.32;0.08;1;0.32;0.08;1;0.36;1;1
;6745;d och laʒ ich vaf mich an dich;Doch laz ich vater michan dich‧;dat late ick vadeꝛ my an dick~;doch laß ich mich an dich;doch laʒ ich vater mich an dich;doch laʒʒ ich vater mich an dich.;doch late ik mik vnd an dich;Doch laʒʒe ich mich vater an dich;;0.23;0.5;0.2;0.13;0.16;0.4;0.36;1;0.42;0.29;0.1;0.12;0.45;0.39;1;0.53;0.42;0.41;0.47;0.55;1;0.23;0.25;0.32;0.27;1;0.03;0.42;0.36;1;0.41;0.33;1;0.3;1;1
;6746;A ller din wille an mir ir ge;aller din wille an mir erĝe‧;nach dinen willen it alle ſche~;alle din wille an mir ge;alle dyne wille an mir erge;a ller dein wille an miͤr erge.;Alle dȳ wille an im irghe;Aller dem wille an mir erge;;0.17;0.65;0.17;0.21;0.13;0.28;0.17;1;0.58;0.18;0.18;0.17;0.32;0.14;1;0.55;0.55;0.65;0.61;0.61;1;0.15;0.2;0.24;0.19;1;0.2;0.26;0.15;1;0.33;0.13;1;0.26;1;1
;6747;N ach minen willen nit geſche;Nach minem willē niht geſchehe‧;nach myneme willen it lucht eng;noch dein willen mir geſche;nicht nach myne willen geſche;nicht nach meinē willen geſche.;na mneme wille nicht gheſche;Vnd nach deinem willen geſchech;;0.26;0.39;0.28;0.38;0.4;0.34;0.39;1;0.42;0.42;0.52;0.55;0.32;0.45;1;0.48;0.55;0.61;0.48;0.55;1;0.48;0.43;0.46;0.42;1;0.1;0.59;0.35;1;0.6;0.32;1;0.58;1;1
;6748;;;alle din wille an my be ſte~;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
;6749;V ater ich bin gehoꝛſam dir;Vater ich bin̂ gehoꝛſam dir‧;vadeꝛ ik bin hoꝛſam dy~;Jch bin gehorſam vatter ale;vater ich byn gehorſam dir;V ater ich bin gehoiſam dir.;Gader ik dȳ ghehoꝛſaundy;Pater ich pin gehorſam dir;;0.11;0.33;0.67;0.11;0.04;0.48;0.15;1;0.36;0.64;0.14;0.14;0.5;0.18;1;0.78;0.38;0.37;0.46;0.42;1;0.63;0.67;0.89;0.63;1;0.11;0.5;0.12;1;0.52;0.15;1;0.5;1;1
;6750;W aʒ duͦ wilt daʒ ſchaf mit mir;Waz dv wilt daz ſchaf mit mir‧;wat du wult dat do myt myn;waʒ du wilt daʒ mach mit mir;was du wilt daʒ geſche mit mit;waʒ du wilt daʒ ſchaff mit mir.;wat du wult dat do mit my;Waʒ du wild daʒ ſchaffe mit mir;;0.19;0.42;0.19;0.26;0.1;0.39;0.16;1;0.43;0.27;0.3;0.17;0.4;0.23;1;0.36;0.4;0.4;0.08;0.45;1;0.2;0.17;0.32;0.23;1;0.23;0.37;0.26;1;0.37;0.06;1;0.42;1;1
;6751;I heſus ſwitʒit e an dem gebede;Ieſus ſwitzt andem gebet‧;yeʒus ſwetede an deme bede~;Jhus an ſin gebete;Iheſus ſwiʒte an dem gebete;I eſus ſwitʒte an dem gebete.;chus ſweyte an deme ghebede;Ieſus ſwicʒt an dem gepet;;0.29;0.42;0.58;0.16;0.13;0.35;0.29;1;0.44;0.6;0.22;0.18;0.44;0.2;1;0.67;0.44;0.39;0.37;0.41;1;0.48;0.54;0.52;0.6;1;0.07;0.3;0.19;1;0.36;0.18;1;0.44;1;1
;6752;b luͦtigen ʒweiʒ er da tede·;Blvtigen ſwaiz et da têt‧;blodich ʒwet dat he daꝛ dede~;Moluligen ſweiß er do rerte;ſlutigen ſweis das her da tete;bluͤtigen ſweiʒ daʒ er datete.;Audighē ſweyt he dar dede;Plutigen ſwanʒ daʒ er do tet;;0.39;0.59;0.39;0.4;0.34;0.54;0.5;1;0.69;0.44;0.4;0.41;0.64;0.43;1;0.72;0.5;0.59;0.41;0.66;1;0.4;0.45;0.56;0.46;1;0.2;0.5;0.27;1;0.55;0.24;1;0.61;1;1
;6753;d u ſin gebeit ein ende nam;Do ſin̂ gebet ein̂ ende nam‧;do ʒin bet en ende nam~;do ſin gebet in ende nam;da ſyn gebete ein ende nam;D o ſein gebet ein ende nam.;do ſn bet eȳ ende nam;Do ſein gepet an ende nam;;0.21;0.3;0.15;0.19;0.11;0.3;0.26;1;0.25;0.14;0.21;0.18;0.29;0.25;1;0.21;0.31;0.26;0.17;0.28;1;0.15;0.11;0.21;0.12;1;0.19;0.27;0.27;1;0.26;0.15;1;0.28;1;1
;6754;e in engel dar von himel quam;Ein engel dar von himel châm‧;en engel van deme hemel quam~;Ein engel do vō himel quam;Ein engel da von hymel quam;ein engel von dem himel quam.;Syn engel dar vā hēmelequā;Ein Engel dar von hymel cham;;0.17;0.34;0.17;0.1;0.24;0.31;0.14;1;0.41;0.28;0.21;0.34;0.38;0.1;1;0.34;0.31;0.17;0.45;0.38;1;0.15;0.18;0.35;0.25;1;0.25;0.33;0.11;1;0.43;0.32;1;0.36;1;1
;6755;d͛ mit ihu lange reite;Der mit ih lange redte‧;de myt yhe ʒum lange ꝛedede~;mit im der lange rette;der mit iheſu lange redte;D er mit ieſn lange rette.;de myt ihn langhe rede;Der mit Ieſu lange rete;;0.21;0.43;0.41;0.2;0.28;0.27;0.22;1;0.43;0.42;0.16;0.24;0.25;0.21;1;0.54;0.36;0.5;0.39;0.43;1;0.4;0.36;0.55;0.39;1;0.16;0.28;0.08;1;0.32;0.12;1;0.3;1;1
;6756;V nd machte in ʒuͦ d͛ martil ſtete;Vn̄ macht in zv der marter ſtete‧;vnde ene to deꝛ meꝛteꝛ ſtedede~;vnd macht in ʒu der martir ſtete;knde yn ʒu der marter ſterkte;vnd macht in ʒv der marter ſtete.;vn̄ makede en to der martē ſtede;V nd troſte yn ʒv der maꝛter ſtete;;0.32;0.65;0.18;0.47;0.24;0.41;0.35;1;0.58;0.15;0.42;0.09;0.33;0.32;1;0.59;0.42;0.56;0.47;0.53;1;0.34;0.06;0.34;0.29;1;0.34;0.47;0.35;1;0.34;0.24;1;0.41;1;1
;6757;I heſus ʒuͦ den iungen vider;Ieſus zv den ivngern wider‧;yeʒus to den yungeꝛen wedden~;Jhus ʒu ſinē ſungn̄ wid der;Jheſus ʒu den Jungern wider;i eſus ʒv den wougern wider.;ihus toden vngerē wedder;Ieſus ʒv den ſungern wider;;0.32;0.52;0.5;0.21;0.29;0.5;0.25;1;0.41;0.59;0.26;0.22;0.37;0.15;1;0.59;0.41;0.48;0.38;0.38;1;0.41;0.59;0.52;0.44;1;0.22;0.41;0.15;1;0.44;0.15;1;0.38;1;1
;6758;E ine die lagen alle nider;Gienc da lagen alle inder‧;gink de legen alle neddeꝛ~;Ging die logn̄ alle do inder;gnng dye lagen alle nyder;giench. di lagen alle iider.;ghink delanghe alle nedder;Gieng dy lagen alle nider;;0.35;0.35;0.36;0.23;0.27;0.38;0.23;1;0.35;0.39;0.31;0.15;0.46;0.19;1;0.43;0.31;0.38;0.31;0.31;1;0.36;0.39;0.46;0.36;1;0.31;0.38;0.16;1;0.46;0.15;1;0.38;1;1
;6759;V nd ſlifen du er daʒ geſach;vn̄ ſliefen do er daz geſach‧;vnde ſleppe de he dat ſach~;Sie ſliffn̄ do vnſer herr daʒ ſach;vnde ſlffen do er das geſach;V nd ſleffen do er daʒ geſach.;vn ſclepē do he dat gheſach;Vnd ſliefen do er daʒ geſach;;0.21;0.46;0.5;0.18;0.1;0.43;0.11;1;0.45;0.53;0.21;0.21;0.38;0.1;1;0.53;0.39;0.41;0.37;0.43;1;0.5;0.5;0.62;0.47;1;0.14;0.39;0.14;1;0.38;0.1;1;0.36;1;1
;6760;S ente get wach er vnd ſprach;Sant peter wekt er vn̄ ſprach‧;ʒunte peteꝛ weckede ge vnde ſpꝛak~;Nu ſant peter er do ſprach;mnt yetern werkte er vff vnde ſprach;ſand peter er weckte vnd ſprach.;Sāte petere weckede vn̄ ſprach;Er ſant peter wechet vnd ſprach;;0.37;0.5;0.48;0.5;0.42;0.43;0.35;1;0.47;0.43;0.36;0.32;0.3;0.32;1;0.62;0.44;0.5;0.38;0.5;1;0.53;0.45;0.57;0.32;1;0.44;0.42;0.5;1;0.29;0.32;1;0.39;1;1
;6761;M ochtes duͦ nit eine wile mit mir;Mohteſt dv niht ein weil mit mir‧;mochtu eyne wile myt my~;mochteſt du nicht ein wyl mit mit;buochtes du nicht ein wile mit mir;M ochtes dv nicht ein weile mit miͤr.;machtu nicht eyne wile myt iy;Mochtes du nicht ein weil mit mir;;0.32;0.41;0.29;0.18;0.19;0.38;0.21;1;0.58;0.21;0.29;0.22;0.52;0.18;1;0.55;0.5;0.5;0.31;0.52;1;0.21;0.25;0.39;0.15;1;0.14;0.35;0.12;1;0.39;0.11;1;0.36;1;1
;6762;Wachen peter wie iſt dir;Gewachen peter wie iſt dir‧;waken peteꝛ wo is dy~;Gewachn̄ peter wie iſt dir;geboachen peter wie iſt dir;gewachen peter wie iſt dir.;ghewakē peter wo iſ dy;Gewachten peter wie iſt dir;;0.11;0.38;0.15;0.15;0.08;0.5;0.11;1;0.44;0.11;0.11;0.04;0.41;0.07;1;0.46;0.48;0.42;0.36;0.44;1;0.15;0.08;0.38;0.11;1;0.07;0.44;0.11;1;0.38;0.04;1;0.41;1;1
;6763;W achet noch vnd ftet vf alle;Wacher noch vn̄ ſtet ovf alle‧;wacket noch vnde ſtad vw alle~;wachet vnd ſtet vff alle;kacht noch vnde ſtet vff alle;w achet noch vnd ſtet ouf alle.;walet noch vnde ſtat vp alle;Wachet noch vnd ſtet alſe;;0.2;0.27;0.28;0.21;0.1;0.24;0.21;1;0.3;0.33;0.27;0.17;0.3;0.27;1;0.4;0.27;0.3;0.17;0.3;1;0.28;0.27;0.39;0.4;1;0.2;0.21;0.28;1;0.27;0.2;1;0.29;1;1
;6764;S ie gent da her mit groʒen ſchalle;Si gent da her mit̂ grozē ſchalle‧;ʒe gan heꝛ myt gꝛoteme ſcalle~;Sie kome mit groſſem ſchalle;ſye gen dort her mit groſſem ſchalle;ſi gent dort her mit groʒʒem ſchalle.;ſe ghan her myt grotē ſcalle;Sy gent dort her mit groʒʒem ſchalle;;0.2;0.46;0.4;0.28;0.22;0.4;0.22;1;0.5;0.44;0.36;0.28;0.38;0.28;1;0.5;0.44;0.47;0.27;0.47;1;0.33;0.36;0.54;0.36;1;0.14;0.39;0.14;1;0.42;0.06;1;0.44;1;1
;6765;ſ i ſin hi bi di mich nv vahen;Si ſint hie bei die mich nv vahen‧;ſ ʒind hir by de my mu van~;die mich nu wolln̄ vahen;ſye ſyn hye nye die mich nu vahen;S i ſint hiebei di mich nv vahen.;Se ſint her by de mik nuban;Sy ſint hie pen dy mich nu vahen;;0.21;0.5;0.6;0.3;0.12;0.5;0.31;1;0.47;0.65;0.32;0.12;0.41;0.21;1;0.78;0.52;0.56;0.41;0.5;1;0.61;0.62;0.74;0.62;1;0.36;0.45;0.3;1;0.47;0.22;1;0.41;1;1
;6766;W ollen binden vnd ſlahen;Wellent binden vn̄ ſlahen‧;vllen ſtoten vnde ſian~;pingen vnd zu tode ſlahen;vde wollen mich binden vnde ſlahen;wellen binden vnde ſlahen.;Willē bindē vn̄ ſclan;Wellent pinden vnd ſlahen;;0.19;0.48;0.52;0.29;0.12;0.4;0.16;1;0.5;0.58;0.38;0.15;0.38;0.12;1;0.64;0.53;0.4;0.65;0.48;1;0.59;0.44;0.68;0.52;1;0.29;0.56;0.35;1;0.4;0.12;1;0.44;1;1
8.11 Gefangennahme;6767;In der ſelben wile dar;INd͛ ſelben weile dar‧;Im deꝛ ʒuluen wile gaꝛn~;In der ſelbh wil dar;In der ſelben wile dar;IN der ſelben weile dar;nder ſuluen wilegar;IA der ſelben weilen dar;;0.23;0.38;0.14;0;0.04;0.27;0.12;1;0.5;0.36;0.23;0.17;0.41;0.25;1;0.5;0.38;0.42;0.38;0.46;1;0.14;0.17;0.4;0.25;1;0.04;0.27;0.12;1;0.3;0.08;1;0.38;1;1
;6768;I vden quam ein michel ſchar;Ivden chomen ein michel ſchar‧;yoden quemen daꝛ en gꝛot ſcaꝛ~;Anam ein michel ſchar;Jnden quamen eyn mychel ſchar;iuden quam ein groʒʒe ſchar.;In dem quā en michel ſchar;Der luden chomen ein groʒʒe ſchar;;0.23;0.63;0.29;0.24;0.29;0.21;0.48;1;0.6;0.37;0.27;0.43;0.37;0.39;1;0.73;0.53;0.57;0.63;0.61;1;0.38;0.48;0.35;0.61;1;0.38;0.31;0.48;1;0.44;0.3;1;0.58;1;1
